Cioccolata;Dolci, Cioccolata e altri confezionamenti;3.09
Cacao in polvere;Dolci, Cioccolata e altri confezionamenti;0.66
Pasta sfoglia (con burro);Dolci, Cioccolata e altri confezionamenti;5.53
Pasta sfoglia (vegana);Dolci, Cioccolata e altri confezionamenti;2.45
Zucchero;Dolci, Cioccolata e altri confezionamenti;1.3
Dolcificante;Dolci, Cioccolata e altri confezionamenti;1.11
Sciroppo/melassa;Dolci, Cioccolata e altri confezionamenti;1
apple;Frutta e Verdura;1.18
artichoke;Frutta e Verdura;1.9
asparagus;Frutta e Verdura;4.1
aubergine;Frutta e Verdura;4.1
avocados;Frutta e Verdura;0.67
bamboo shoot;Frutta e Verdura;4.1
bananas;Frutta e Verdura;1.28
basil (fresh);Frutta e Verdura;1.41
bertroot;Frutta e Verdura;0.67
berries;Frutta e Verdura;1.82
brassicas: other;Frutta e Verdura;1.9
broccoli;Frutta e Verdura;1.9
cabbage;Frutta e Verdura;1.9
carrot;Frutta e Verdura;1.15
cauli flower;Frutta e Verdura;1.9
celery;Frutta e Verdura;0.67
chicory;Frutta e Verdura;0.67
chilli peppers;Frutta e Verdura;3.45
chives (fresh);Frutta e Verdura;1.41
citrus ;Frutta e Verdura;1.28
collard greens;Frutta e Verdura;1.9
corriander (fresh);Frutta e Verdura;1.41
cucumber;Frutta e Verdura;0.59
dried and candied fruits, nuts and seeds;Frutta e Verdura;2.49
fennel;Frutta e Verdura;1.9
figs;Frutta e Verdura;1.28
fruit: other;Frutta e Verdura;1.47
garlic;Frutta e Verdura;1.15
grapes;Frutta e Verdura;1.48
herbs(fresh): other;Frutta e Verdura;1.9
plant based (vegan) burger;meat altenatives;2.29
plant based (vegan) sausage;meat altenatives;2.290
plant based meat analog;meat altenatives;2.29
quorn;meat altenatives;3.19
tofu;meat altenatives;1.07
animal fat;oli;9.83
butter;oli;9.82
fats and oils: other;oli;3.67
spreadeble butter;oli;7.55
vegetable ils;oli;3.67
butter;Dairy, Eggs & Dairy Alternatives;9.92
cheese (other);Dairy, Eggs & Dairy Alternatives;12.41
processed cheese ;Dairy, Eggs & Dairy Alternatives;12.41
cheese (ripened);Dairy, Eggs & Dairy Alternatives;12.41
cheese (unpastorised);Dairy, Eggs & Dairy Alternatives;12.41
cottage cheese;Dairy, Eggs & Dairy Alternatives;12.41
cheese whey protein e.g ricotta;Dairy, Eggs & Dairy Alternatives;12.41
cream (dairy);Dairy, Eggs & Dairy Alternatives;4.84
dairy:other;Dairy, Eggs & Dairy Alternatives;1.26
egg;Dairy, Eggs & Dairy Alternatives;4.9
egg: free range;Dairy, Eggs & Dairy Alternatives;5.43
ice cream: dairy;Dairy, Eggs & Dairy Alternatives;1.36
margarine dairy;Dairy, Eggs & Dairy Alternatives;1.31
milk: UHT;Dairy, Eggs & Dairy Alternatives;1.26
milk: condensed;Dairy, Eggs & Dairy Alternatives;1.17
milk: fermented;Dairy, Eggs & Dairy Alternatives;3.39
milk: fresh cattle;Dairy, Eggs & Dairy Alternatives;1.26
milk: fresh sheep and goat;Dairy, Eggs & Dairy Alternatives;1.28
milk: nut milk;Dairy, Eggs & Dairy Alternatives;0.53
milk: powdered;Dairy, Eggs & Dairy Alternatives;10.83
milk: soya;Dairy, Eggs & Dairy Alternatives;0.48
yogurt and Fromage Frais(dairy);Dairy, Eggs & Dairy Alternatives;2.98
